repo_id,first100,first100_net,first1000,first1000_net,total,total_net
11225014,100,53,1000,482,48321,19681
639096757,100,90,1000,808,5855,4624
14702444,100,65,1000,682,2833,2005
521655652,100,46,1000,720,20774,14275
254328371,100,57,1000,683,6001,4359
664872761,100,73,827,668,827,668
235901813,100,66,1000,692,28515,18906
231921809,100,63,1000,707,14547,9244
614695583,100,62,1000,606,2395,1531
738290765,100,45,280,158,280,158
358943289,100,43,1000,748,2533,1980
637924634,100,63,1000,693,10489,6590
1170246605,22,10,22,10,22,10
654560183,100,71,1000,787,4197,3255
396856161,100,69,1000,785,5770,4157
963696290,100,66,385,246,385,246
607441698,100,79,1000,795,7474,5814
6452529,100,55,1000,488,22674,11479
396569538,100,56,1000,678,30173,17650
914997268,100,78,1000,773,1705,1298
1028159967,100,26,1000,385,2014,697
143328315,100,41,1000,444,34282,17642
450188582,100,42,1000,523,2458,1466
658928958,100,67,1000,718,147895,58480
476820102,100,79,1000,706,3196,2324
621929252,100,83,1000,777,4298,3200
543838169,100,65,1000,806,2350,1912
2500088,100,39,1000,361,13121,5361
572984571,100,77,1000,813,34236,20619
365373172,100,63,1000,743,6667,4799
501725302,100,81,298,251,298,251
936400285,46,27,46,27,46,27
1234904564,59,36,59,36,59,36
1147073855,100,53,329,185,329,185
290495697,100,71,1000,672,4666,3146
327089870,100,71,1000,661,36798,19459
606164768,100,87,1000,722,3245,2220
1076362809,98,13,98,13,98,13
1167164255,4,4,4,4,4,4
271816968,63,41,63,41,63,41
971447302,100,9,1000,576,2721,1658
19257422,100,50,1000,654,16461,9386
649170660,100,68,1000,712,48170,26184
359995930,100,27,132,41,132,41
371296634,100,9,731,329,731,329
331293626,100,60,1000,684,31577,18477
100346588,100,29,1000,400,11665,5106
202291859,100,53,1000,676,25821,15008
900550981,100,72,1000,745,4996,3362
676829188,100,82,1000,747,10036,6209
315977578,100,28,1000,445,6420,3248
461280850,100,72,1000,735,6530,4127
481955061,100,36,181,58,181,58
803014189,100,64,1000,697,19241,11367
88013053,100,52,1000,515,5806,2914
771160970,100,49,1000,784,2029,1567
916009087,100,71,1000,716,5733,3540
1002125012,100,79,1000,771,10335,5719
3757512,100,34,1000,337,17676,7179
704537857,100,2,163,25,163,25
326404870,100,62,1000,694,23117,15696
1177108326,18,11,18,11,18,11
371644903,100,75,1000,658,1007,658
736272311,100,73,1000,831,8049,5482
13124802,100,46,1000,466,28729,15240
37448451,100,50,1000,563,36530,19076
463728195,100,50,385,130,385,130
237222619,100,45,1000,620,17709,8271
348217288,100,51,1000,492,1454,815
1066745758,51,29,51,29,51,29
846729675,100,84,1000,813,2354,1808
50874442,100,51,1000,677,11773,7809
952018616,100,49,1000,768,2834,2129
21233191,100,46,1000,484,17454,8643
886966165,100,81,1000,776,2682,2018
660776503,100,77,1000,819,7416,5798
351486934,100,62,1000,581,10417,6336
362806180,100,66,1000,763,10418,7338
420489845,100,92,1000,868,3302,2698
557075997,100,45,1000,516,25293,12485
677829141,100,44,1000,574,1040,595
342728683,100,70,1000,638,8556,5644
524510950,59,20,59,20,59,20
763923484,100,70,1000,763,2932,2062
718873539,100,51,1000,718,1152,834
401275197,100,23,1000,530,2060,1065
764723738,100,64,1000,770,15936,10656
1217107102,3,2,3,2,3,2
619284964,100,61,1000,815,2270,1877
1125445550,100,49,240,99,240,99
879336205,100,79,634,516,634,516
601834373,100,80,1000,789,1235,985
360238600,100,72,1000,619,1894,1152
3470471,100,23,1000,215,56606,14245
283046497,100,61,1000,690,19131,11891
732124850,100,73,1000,820,5823,4638
325724738,100,66,1000,648,10679,6793
642497346,100,76,1000,836,16519,10935
783445370,10,8,10,8,10,8
36437041,100,46,1000,523,8670,5132
725205304,100,63,1000,747,44598,23188
434630945,25,11,25,11,25,11
621803253,100,76,1000,729,42482,25100
656099147,100,56,1000,650,40100,23914
299482335,100,66,1000,640,26209,14345
863835427,100,56,1000,589,13105,6428
370119131,49,18,49,18,49,18
624681066,100,64,1000,662,33749,16261
655949187,100,42,1000,635,2613,1921
438113412,100,64,328,241,328,241
956472076,100,73,1000,699,6182,3903
893031915,100,55,1000,755,2611,1859
547597394,100,52,234,114,234,114
628390075,100,57,1000,765,2632,2143
671269505,100,87,1000,829,29819,19921
464415161,100,66,1000,748,8006,6219
294714234,3,2,3,2,3,2
973180254,100,73,1000,704,4359,2799
690825026,100,83,1000,814,8289,6421
181399273,35,23,35,23,35,23
787076358,100,82,1000,836,64073,28955
775144062,100,52,318,218,318,218
285092252,100,28,1000,514,24513,11236
201403923,100,40,1000,405,8885,4734
488804911,100,75,1000,790,14050,10780
1090300896,3,1,3,1,3,1
380046663,38,25,38,25,38,25
289073337,100,81,1000,864,8296,6678
605682921,100,44,1000,635,2133,1390
116817549,100,73,1000,731,8102,5016
143846881,100,31,1000,565,3442,2203
919987810,100,77,1000,789,1346,1048
1144115288,100,69,1000,573,3660,1796
349372179,100,67,1000,599,5125,3462
839037098,100,30,1000,568,16102,10192
257787813,100,63,1000,658,7717,4927
285012857,100,45,1000,715,4406,3565
168712350,100,62,1000,703,12239,8200
925270205,100,67,1000,703,9738,6745
881458615,100,79,1000,772,67582,32884
357728969,100,61,1000,674,80312,36192
573661753,100,25,1000,752,17228,12051
145464445,100,47,1000,507,32488,18729
595832198,100,85,1000,846,4282,3487
123606765,100,72,1000,638,1476,971
597502256,100,89,1000,724,10402,5901
152572186,100,77,1000,689,20402,13173
214587193,100,74,1000,712,89953,45543
633262635,100,55,1000,727,16672,10411
775009948,100,76,1000,785,2453,1843
546358763,100,76,1000,842,2312,1941
1017038703,100,48,311,169,311,169
572570113,100,86,1000,837,11987,9405
510034344,100,90,1000,702,1557,1035
342259394,100,75,1000,808,2759,2211
480715758,100,46,113,55,113,55
686364232,100,64,1000,760,6230,2992
75255555,100,41,1000,474,4530,2634
516192901,100,26,1000,791,1723,1390
52630616,100,53,1000,563,20687,10318
672387589,100,57,1000,750,1330,964
